type   |  name
select  |  #TempAggregatedData
select  |  #TempProcessingData
select  |  #TempValidationResults
select  |  Categories
select  |  Customers
select  |  CustomerSegmentAnalysis
select  |  DepartmentPerformanceReport
select  |  Departments
select  |  Discounts
select  |  Employees
select  |  OrderCancellations
select  |  OrderDetails
select  |  Orders
select  |  Products
select  |  Regions
select  |  SalesPerformanceReport
select  |  Shippers
select  |  Suppliers
insert  |  #TempAggregatedData
insert  |  #TempProcessingData
insert  |  #TempValidationResults
insert  |  CustomerSegmentAnalysis
insert  |  DepartmentPerformanceReport
insert  |  ErrorLog
insert  |  ProcessExecutionLog
insert  |  ProcessStatistics
insert  |  SalesPerformanceReport
update  |  #TempProcessingData
update  |  Orders
delete  |  OrderProcessingQueue
delete  |  CustomerOrderSummary
merge   |  CustomerOrderSummary
